armyPerception,civilianPerception,percentCivilianGlassesWearers,redCrossPerception,totalNumberArmy,totalNumberCivilians,totalNumberRedCross,totalZombified
4.3728515625,3.3798828125,0.287109375,3.7673828125,10,100,10,3
4.3728515625,3.3798828125,0.287109375,3.7673828125,10,100,10,2
4.3728515625,3.3798828125,0.287109375,3.7673828125,10,100,10,18
4.3728515625,3.3798828125,0.287109375,3.7673828125,10,100,10,1
4.3728515625,3.3798828125,0.287109375,3.7673828125,10,100,10,10
2.0478515625,4.1548828125,0.537109375,1.4423828125,10,100,10,8
2.0478515625,4.1548828125,0.537109375,1.4423828125,10,100,10,10
2.0478515625,4.1548828125,0.537109375,1.4423828125,10,100,10,5
2.0478515625,4.1548828125,0.537109375,1.4423828125,10,100,10,5
2.0478515625,4.1548828125,0.537109375,1.4423828125,10,100,10,2
2.0478515625,4.1548828125,0.537109375,1.4423828125,10,100,10,4
2.0478515625,4.1548828125,0.537109375,1.4423828125,10,100,10,5
2.0478515625,4.1548828125,0.537109375,1.4423828125,10,100,10,6
2.0478515625,4.1548828125,0.537109375,1.4423828125,10,100,10,9
2.0478515625,4.1548828125,0.537109375,1.4423828125,10,100,10,8
3.5978515625,2.6048828124999996,0.037109375,2.9923828125,10,100,10,15
3.5978515625,2.6048828124999996,0.037109375,2.9923828125,10,100,10,6
3.5978515625,2.6048828124999996,0.037109375,2.9923828125,10,100,10,3
3.5978515625,2.6048828124999996,0.037109375,2.9923828125,10,100,10,5
3.5978515625,2.6048828124999996,0.037109375,2.9923828125,10,100,10,9
3.5978515625,2.6048828124999996,0.037109375,2.9923828125,10,100,10,3
3.5978515625,2.6048828124999996,0.037109375,2.9923828125,10,100,10,4
3.5978515625,2.6048828124999996,0.037109375,2.9923828125,10,100,10,12
3.5978515625,2.6048828124999996,0.037109375,2.9923828125,10,100,10,16
3.5978515625,2.6048828124999996,0.037109375,2.9923828125,10,100,10,13
1.65732421875,1.44541015625,0.7998046875,3.71591796875,10,100,10,4
1.65732421875,1.44541015625,0.7998046875,3.71591796875,10,100,10,11
1.65732421875,1.44541015625,0.7998046875,3.71591796875,10,100,10,20
1.65732421875,1.44541015625,0.7998046875,3.71591796875,10,100,10,17
1.65732421875,1.44541015625,0.7998046875,3.71591796875,10,100,10,10
1.65732421875,1.44541015625,0.7998046875,3.71591796875,10,100,10,16
1.65732421875,1.44541015625,0.7998046875,3.71591796875,10,100,10,5
1.65732421875,1.44541015625,0.7998046875,3.71591796875,10,100,10,13
1.65732421875,1.44541015625,0.7998046875,3.71591796875,10,100,10,18
1.65732421875,1.44541015625,0.7998046875,3.71591796875,10,100,10,10
3.20732421875,2.99541015625,0.2998046875,2.16591796875,10,100,10,2
3.20732421875,2.99541015625,0.2998046875,2.16591796875,10,100,10,12
3.20732421875,2.99541015625,0.2998046875,2.16591796875,10,100,10,8
3.20732421875,2.99541015625,0.2998046875,2.16591796875,10,100,10,7
3.20732421875,2.99541015625,0.2998046875,2.16591796875,10,100,10,4
3.20732421875,2.99541015625,0.2998046875,2.16591796875,10,100,10,5
3.20732421875,2.99541015625,0.2998046875,2.16591796875,10,100,10,6
